25-10-19 21:25:29.648 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final 
25-10-19 21:25:29.659 [main] INFO  com.bankapp.BankAppApplication - Starting BankAppApplication using Java 1.8.0_202 on LAPTOP-SAE3T7I7 with PID 11036 (C:\Users\niraj\Downloads\BankApp\BankApp\target\classes started by niraj in C:\Users\niraj\Downloads\BankApp\BankApp) 
25-10-19 21:25:29.660 [main] INFO  com.bankapp.BankAppApplication - No active profile set, falling back to 1 default profile: "default" 
25-10-19 21:25:30.438 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
25-10-19 21:25:30.510 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 59 ms. Found 3 JPA repository interfaces. 
25-10-19 21:25:31.464 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http) 
25-10-19 21:25:31.474 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"] 
25-10-19 21:25:31.476 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-10-19 21:25:31.476 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75] 
25-10-19 21:25:31.622 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-10-19 21:25:31.622 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1905 ms 
25-10-19 21:25:31.851 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] 
25-10-19 21:25:31.909 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final 
25-10-19 21:25:32.104 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
25-10-19 21:25:32.210 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
25-10-19 21:25:32.715 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
25-10-19 21:25:32.747 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect 
25-10-19 21:25:33.885 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
25-10-19 21:25:33.897 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
25-10-19 21:25:34.613 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@416c8bb5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@340b4f07, org.springframework.security.web.context.SecurityContextPersistenceFilter@4272d8cf, org.springframework.security.web.header.HeaderWriterFilter@48ee3c2d, org.springframework.security.web.authentication.logout.LogoutFilter@20184ade, com.bankapp.util.JwtFilter@7da77305, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@70ecf57b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@20f63ddc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@e994ca, org.springframework.security.web.session.SessionManagementFilter@4ede035e, org.springframework.security.web.access.ExceptionTranslationFilter@111fe921, org.springframework.security.web.access.intercept.AuthorizationFilter@51cca357] 
25-10-19 21:25:34.682 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
25-10-19 21:25:35.120 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"] 
25-10-19 21:25:35.146 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '' 
25-10-19 21:25:35.165 [main] INFO  com.bankapp.BankAppApplication - Started BankAppApplication in 5.859 seconds (JVM running for 6.363) 
25-10-19 21:25:42.314 [http-nio-8081-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
25-10-19 21:25:42.315 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
25-10-19 21:25:42.317 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms 
25-10-19 21:25:42.781 [http-nio-8081-exec-2] INFO  com.bankapp.service.UserService - UserID 5 registered 
